claim_id,worker_id,zone,claim_date,claim_hour,has_real_disruption,is_fraudster,is_fraud,gps_zone_mismatch,wifi_home_ssid,battery_charging,accelerometer_idle,platform_app_inactive,ip_home_match,claim_latency_under30s,gps_jitter_perfect,barometer_mismatch,hw_fingerprint_match,app_install_cluster,days_since_onboard,referral_depth,simultaneous_zone_claims,zone_depth_score,fps_score,fps_tier,iss_score,city
CLM0000001,CHE_00158,Porur,2024-01-10,16,0,0,0,0,0,0,0,0,0,0.0,0.198467,0,0.0,0,132,2,1,0.2051,0.0241,GREEN,27,Chennai
CLM0000002,CHE_00223,T Nagar,2018-03-16,14,0,0,0,0,0,1,0,0,0,0.0,0.284994,0,0.0,0,149,4,3,0.9704,0.0555,GREEN,27,Chennai
CLM0000003,CHE_05282,T Nagar,2025-12-26,10,0,0,0,0,0,0,1,0,0,0.0,0.242873,0,0.0,0,122,2,3,0.8698,0.0285,GREEN,32,Chennai
CLM0000004,CHE_01075,Perambur,2021-09-30,13,0,0,0,0,0,0,0,0,1,0.0,0.211131,0,0.0,0,169,3,5,0.9229,0.1547,GREEN,37,Chennai
CLM0000005,CHE_04502,Porur,2025-01-27,7,0,0,0,0,0,0,0,0,0,0.0,0.003074,0,0.0,0,38,0,0,0.7252,0.0209,GREEN,31,Chennai
CLM0000006,CHE_06479,T Nagar,2025-12-12,18,0,0,0,0,0,0,1,0,0,0.0,0.293322,0,0.0,0,312,1,3,0.98,0.0296,GREEN,35,Chennai
CLM0000007,CHE_06537,Guindy,2022-05-03,9,0,0,0,1,0,0,1,1,0,0.0,1.0,0,0.0,1,8,4,18,0.5788,0.0,GREEN,41,Chennai
CLM0000008,CHE_09607,Guindy,2023-10-04,20,0,0,0,0,0,0,0,0,0,0.0,0.034948,0,0.0,0,239,0,6,0.05,0.0,GREEN,39,Chennai
CLM0000009,CHE_01611,T Nagar,2018-08-05,9,0,0,0,0,1,1,0,0,0,1.0,0.903849,0,1.0,0,147,3,4,0.6194,0.2302,GREEN,56,Chennai
CLM0000010,CHE_07703,Porur,2019-09-11,17,0,0,0,0,0,0,0,0,0,0.0,0.303276,0,0.0,0,245,2,2,0.9505,0.0,GREEN,37,Chennai
CLM0000011,CHE_04432,Adyar,2025-03-19,20,0,0,0,0,0,0,0,0,0,0.0,0.191101,0,0.0,0,20,4,0,0.6871,0.0472,GREEN,49,Chennai
CLM0000012,CHE_09083,Anna Nagar,2022-09-03,15,0,0,0,0,0,0,0,1,0,0.0,0.06337,0,0.0,0,107,1,4,0.9133,0.0765,GREEN,53,Chennai
CLM0000013,CHE_00903,Chromepet,2021-12-09,9,0,0,0,0,1,0,0,0,0,0.0,0.472038,0,0.0,0,265,0,2,0.837,0.1563,GREEN,19,Chennai
CLM0000014,CHE_02280,Sholinganallur,2021-10-14,20,0,0,0,0,0,0,0,0,0,0.0,0.300324,0,0.0,0,273,0,0,0.3748,0.0,GREEN,32,Chennai
CLM0000015,CHE_00198,Anna Nagar,2023-01-14,8,0,0,0,0,0,0,0,0,0,0.0,0.349651,0,0.0,0,26,3,2,0.6723,0.0,GREEN,34,Chennai
CLM0000016,CHE_02539,Porur,2024-04-08,17,0,0,0,0,0,0,0,0,0,0.0,1.0,0,0.0,0,344,2,2,0.9463,0.0703,GREEN,40,Chennai
CLM0000017,CHE_02071,Anna Nagar,2021-01-08,21,0,0,0,0,0,0,0,0,0,0.0,1.0,0,0.0,1,270,2,0,0.4939,0.0597,GREEN,32,Chennai
CLM0000018,CHE_03495,Velachery,2023-08-23,10,0,0,0,0,0,0,0,0,0,0.0,0.043851,0,0.0,0,420,3,3,0.106,0.0232,GREEN,43,Chennai
CLM0000019,CHE_03298,Velachery,2024-07-05,7,0,0,0,0,0,1,0,1,0,0.0,0.424438,0,0.0,0,128,0,4,0.7166,0.1479,GREEN,43,Chennai
CLM0000020,CHE_04569,Guindy,2022-01-06,11,0,0,0,0,0,0,0,0,0,0.0,0.140806,0,0.0,0,420,2,3,0.8358,0.0,GREEN,39,Chennai
CLM0000021,CHE_06045,Porur,2020-10-10,21,0,0,0,0,0,0,0,0,0,0.0,0.390982,0,0.0,0,275,3,1,0.05,0.0,GREEN,28,Chennai
CLM0000022,CHE_05536,Sholinganallur,2025-03-13,20,0,0,0,0,0,0,0,0,0,0.0,0.397067,0,0.0,0,256,3,1,0.6631,0.0255,GREEN,38,Chennai
CLM0000023,CHE_00788,Sholinganallur,2021-10-05,12,0,0,0,0,0,0,0,0,0,0.0,0.294622,0,0.0,0,217,0,3,0.7864,0.0,GREEN,42,Chennai
CLM0000024,CHE_08077,Porur,2018-08-05,19,0,0,0,0,0,0,0,0,0,0.0,0.174061,0,0.0,0,86,2,3,0.05,0.0358,GREEN,38,Chennai
CLM0000025,CHE_03274,Perambur,2020-01-06,14,0,0,0,0,0,0,0,0,0,0.0,0.029127,0,0.0,0,243,0,5,0.4865,0.0037,GREEN,41,Chennai
CLM0000026,CHE_02233,Velachery,2017-05-23,20,0,0,0,0,0,0,0,1,0,0.0,0.137617,0,0.0,0,147,0,4,0.3324,0.0883,GREEN,29,Chennai
CLM0000027,CHE_03145,T Nagar,2020-12-02,19,0,0,0,0,0,1,0,0,0,0.0,0.162638,1,0.0,0,420,4,0,0.6872,0.1084,GREEN,27,Chennai
CLM0000028,CHE_06250,Anna Nagar,2018-11-10,19,0,0,0,0,0,0,0,0,0,0.0,0.000517,0,0.0,0,217,4,2,0.9432,0.047,GREEN,23,Chennai
CLM0000029,CHE_04078,Sholinganallur,2021-10-02,13,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,228,3,1,0.8908,0.0815,GREEN,37,Chennai
CLM0000030,CHE_07417,Tambaram,2024-01-05,10,0,0,0,1,0,1,0,0,0,0.0,0.376199,0,1.0,0,420,4,0,0.7911,0.255,GREEN,56,Chennai
CLM0000031,CHE_04295,Velachery,2021-06-28,9,0,0,0,0,0,0,0,0,0,0.0,1.0,0,0.0,0,62,4,5,0.533,0.1133,GREEN,56,Chennai
CLM0000032,CHE_02738,Anna Nagar,2021-09-30,17,0,0,0,0,0,0,0,0,0,0.0,1.0,0,0.0,0,420,3,1,0.5394,0.0,GREEN,39,Chennai
CLM0000033,CHE_05097,Sholinganallur,2022-12-28,8,0,0,0,0,0,0,1,1,0,1.0,0.130519,0,0.0,0,52,4,2,0.637,0.2185,GREEN,57,Chennai
CLM0000034,CHE_08363,T Nagar,2025-04-26,16,0,0,0,0,0,0,0,0,0,0.0,0.217619,0,0.0,0,308,4,1,0.98,0.1357,GREEN,28,Chennai
CLM0000035,CHE_08261,Sholinganallur,2025-01-29,7,0,0,0,0,0,0,0,0,0,1.0,0.114352,0,0.0,0,22,2,0,0.65,0.0464,GREEN,22,Chennai
CLM0000036,CHE_00729,Perambur,2019-09-08,18,0,1,1,1,0,0,1,1,0,0.0,0.131368,0,1.0,0,36,1,18,0.4534,0.3926,YELLOW,32,Chennai
CLM0000037,CHE_09540,T Nagar,2017-10-15,17,0,1,1,0,1,0,1,1,0,1.0,0.92287,1,0.0,0,5,2,18,0.4667,0.4424,YELLOW,39,Chennai
CLM0000038,CHE_01924,Perambur,2020-08-08,21,0,1,1,1,1,0,1,1,1,0.0,0.20903,1,0.0,1,17,1,18,0.2186,0.7837,RED,45,Chennai
CLM0000039,CHE_08541,Porur,2020-07-06,8,0,1,1,1,1,0,1,0,1,0.0,1.0,0,1.0,1,5,1,18,0.4136,0.7978,RED,31,Chennai
CLM0000040,CHE_06070,Velachery,2025-02-26,19,0,1,1,1,0,1,0,1,1,0.0,1.0,0,1.0,0,8,2,18,0.4081,0.5976,YELLOW,18,Chennai
CLM0000041,CHE_01076,Anna Nagar,2025-06-23,14,0,1,1,1,0,1,1,1,1,0.0,0.055868,0,0.0,0,5,0,18,0.405,0.721,RED,38,Chennai
CLM0000042,CHE_07663,Perambur,2022-10-14,13,0,1,1,1,1,0,1,0,0,1.0,0.253959,0,1.0,1,5,2,18,0.3227,0.5171,YELLOW,19,Chennai
CLM0000043,CHE_07151,Porur,2023-08-01,11,0,1,1,0,0,0,0,0,0,0.0,0.110895,0,0.0,0,15,1,3,0.7548,0.7345,RED,36,Chennai
CLM0000044,CHE_08222,Guindy,2023-07-25,20,0,1,1,1,1,1,0,1,1,0.0,0.102652,1,0.0,0,47,2,18,0.7915,0.8056,RED,39,Chennai
CLM0000045,CHE_04013,Sholinganallur,2024-02-28,19,0,0,0,0,0,0,0,0,0,0.0,0.339807,0,0.0,1,253,4,3,0.8347,0.1312,GREEN,60,Chennai
CLM0000046,CHE_00504,Tambaram,2025-08-07,7,0,0,0,0,0,0,0,0,0,0.0,0.22873,0,0.0,0,132,3,1,0.3633,0.0,GREEN,32,Chennai
CLM0000047,CHE_07052,Perambur,2024-01-02,14,0,0,0,0,0,0,1,0,0,0.0,0.00213,0,0.0,0,138,0,2,0.6833,0.1448,GREEN,40,Chennai
CLM0000048,CHE_08480,Sholinganallur,2024-06-20,20,0,0,0,0,0,0,0,1,0,0.0,0.113888,0,0.0,0,124,4,4,0.6226,0.1217,GREEN,18,Chennai
CLM0000049,CHE_09329,Perambur,2025-08-10,8,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,53,2,3,0.8541,0.0436,GREEN,50,Chennai
CLM0000050,CHE_09412,Chromepet,2024-05-14,15,0,0,0,0,0,0,0,0,0,0.0,1.0,0,0.0,0,136,0,0,0.6962,0.1233,GREEN,47,Chennai
CLM0000051,CHE_03155,Adyar,2025-11-20,20,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,267,2,0,0.4702,0.0,GREEN,34,Chennai
CLM0000052,CHE_08263,T Nagar,2025-09-07,12,0,0,0,0,0,0,0,0,0,1.0,0.033008,0,0.0,0,165,0,2,0.6131,0.0137,GREEN,19,Chennai
CLM0000053,CHE_03719,Sholinganallur,2023-09-06,8,0,0,0,0,0,0,0,0,0,0.0,0.136654,0,0.0,0,300,3,0,0.594,0.1148,GREEN,33,Chennai
CLM0000054,CHE_07026,Velachery,2025-01-11,7,0,0,0,0,0,0,0,0,0,0.0,0.15645,0,0.0,0,294,3,0,0.6047,0.0,GREEN,43,Chennai
CLM0000055,CHE_02197,Chromepet,2024-08-27,7,0,0,0,0,0,0,0,0,0,0.0,0.213275,0,0.0,0,106,0,2,0.98,0.0132,GREEN,40,Chennai
CLM0000056,CHE_09143,Adyar,2025-08-10,17,0,1,1,0,0,0,1,0,0,0.0,1.0,0,0.0,0,420,4,7,0.98,0.1354,GREEN,51,Chennai
CLM0000057,CHE_06453,Velachery,2025-11-19,18,0,0,0,0,1,0,0,0,0,0.0,0.386303,1,0.0,0,195,1,2,0.8474,0.1581,GREEN,41,Chennai
CLM0000058,CHE_08575,Velachery,2022-09-16,14,0,0,0,0,0,0,0,1,0,0.0,0.06245,0,0.0,0,414,2,0,0.8894,0.1635,GREEN,42,Chennai
CLM0000059,CHE_04537,Adyar,2024-03-22,16,0,0,0,0,1,0,0,1,0,0.0,0.27569,0,0.0,0,330,2,4,0.7227,0.224,GREEN,41,Chennai
CLM0000060,CHE_05314,Guindy,2023-11-07,18,0,0,0,0,0,0,0,0,0,0.0,0.300358,0,1.0,0,420,2,3,0.98,0.021,GREEN,43,Chennai
CLM0000061,CHE_00086,T Nagar,2024-10-19,15,0,0,0,0,0,0,0,0,0,0.0,0.0054,0,0.0,0,134,3,2,0.641,0.0,GREEN,40,Chennai
CLM0000062,CHE_07443,Porur,2024-08-15,16,0,0,0,0,0,0,0,0,0,0.0,0.254042,0,0.0,0,420,1,9,0.2437,0.0561,GREEN,33,Chennai
CLM0000063,CHE_04409,Chromepet,2023-01-06,10,0,0,0,0,1,1,1,1,1,1.0,0.90196,0,1.0,0,5,1,18,0.219,0.0386,GREEN,38,Chennai
CLM0000064,CHE_00969,Velachery,2023-09-09,13,0,0,0,0,0,0,1,0,0,0.0,0.984464,0,0.0,0,420,3,3,0.907,0.0473,GREEN,46,Chennai
CLM0000065,CHE_02969,T Nagar,2025-08-02,12,0,0,0,0,0,0,0,0,0,0.0,0.455838,0,0.0,0,314,1,0,0.1204,0.0,GREEN,39,Chennai
CLM0000066,CHE_08424,Guindy,2022-06-08,7,0,0,0,1,0,0,1,1,1,0.0,0.146383,0,0.0,1,17,3,18,0.855,0.0634,GREEN,51,Chennai
CLM0000067,CHE_03198,Tambaram,2025-07-02,19,0,0,0,0,0,0,0,0,0,0.0,0.196017,0,0.0,0,283,2,2,0.5221,0.1446,GREEN,38,Chennai
CLM0000068,CHE_05229,Adyar,2021-04-24,17,0,0,0,0,0,0,1,0,0,0.0,0.262413,1,0.0,0,420,3,4,0.7296,0.2464,GREEN,31,Chennai
CLM0000069,CHE_04373,Chromepet,2024-09-07,7,0,0,0,0,0,0,0,0,1,0.0,0.061249,0,0.0,0,178,3,5,0.8707,0.147,GREEN,44,Chennai
CLM0000070,CHE_03300,Tambaram,2021-07-23,11,0,0,0,0,0,0,0,0,0,0.0,0.247602,0,0.0,0,57,3,1,0.8156,0.1012,GREEN,22,Chennai
CLM0000071,CHE_00400,Guindy,2022-08-11,17,0,0,0,0,0,0,0,1,0,0.0,1.0,0,0.0,0,140,3,0,0.98,0.0316,GREEN,33,Chennai
CLM0000072,CHE_01696,Sholinganallur,2023-11-23,7,0,0,0,0,0,0,0,1,0,0.0,0.388869,0,0.0,0,246,2,3,0.9355,0.0,GREEN,34,Chennai
CLM0000073,CHE_00394,Porur,2018-09-13,7,0,0,0,0,0,0,0,0,0,0.0,0.357689,0,0.0,0,211,3,0,0.7796,0.0,GREEN,28,Chennai
CLM0000074,CHE_09830,Guindy,2019-01-25,15,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,192,2,3,0.7419,0.0,GREEN,28,Chennai
CLM0000075,CHE_07533,Tambaram,2018-10-01,15,0,0,0,0,0,0,0,0,0,0.0,0.361111,0,0.0,0,286,0,4,0.98,0.0106,GREEN,31,Chennai
CLM0000076,CHE_01542,Chromepet,2021-02-07,14,0,0,0,0,0,0,0,0,0,0.0,0.111317,0,0.0,0,70,3,2,0.6835,0.0144,GREEN,40,Chennai
CLM0000077,CHE_06665,Sholinganallur,2018-10-02,20,0,0,0,0,0,0,0,0,0,0.0,0.325879,0,0.0,0,72,4,4,0.6173,0.0,GREEN,26,Chennai
CLM0000078,CHE_09347,Tambaram,2019-02-17,12,0,0,0,0,0,0,0,0,0,0.0,0.283882,0,0.0,0,159,4,0,0.0778,0.0,GREEN,20,Chennai
CLM0000079,CHE_03019,Porur,2018-12-24,21,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,360,0,1,0.8284,0.0802,GREEN,33,Chennai
CLM0000080,CHE_06381,Chromepet,2025-09-15,19,0,0,0,0,0,0,0,0,0,0.0,0.348773,0,0.0,0,68,4,3,0.98,0.0,GREEN,35,Chennai
CLM0000081,CHE_07733,Chromepet,2019-02-16,14,0,0,0,0,0,0,0,0,0,0.0,0.908637,0,0.0,0,180,2,3,0.6957,0.0461,GREEN,42,Chennai
CLM0000082,CHE_02088,Sholinganallur,2021-12-05,9,1,0,0,1,0,0,0,0,0,0.0,0.312525,0,0.0,0,420,4,4,0.7259,0.2236,GREEN,32,Chennai
CLM0000083,CHE_01918,Perambur,2023-03-29,14,0,0,0,0,0,0,1,0,0,0.0,0.33295,0,0.0,0,232,2,1,0.7429,0.1083,GREEN,49,Chennai
CLM0000084,CHE_00544,Anna Nagar,2021-05-19,9,0,0,0,0,1,0,0,0,0,1.0,0.957053,0,1.0,0,5,2,3,0.8056,0.1684,GREEN,41,Chennai
CLM0000085,CHE_04940,Guindy,2023-07-08,16,0,0,0,0,0,0,0,0,0,0.0,0.273199,0,0.0,0,352,2,1,0.312,0.0,GREEN,18,Chennai
CLM0000086,CHE_07631,Guindy,2025-09-29,12,0,0,0,0,0,0,0,0,0,0.0,0.067779,0,0.0,0,360,3,0,0.05,0.0727,GREEN,41,Chennai
CLM0000087,CHE_05500,Adyar,2021-12-03,20,0,0,0,0,0,0,0,1,0,0.0,0.150041,0,0.0,0,319,1,0,0.5152,0.0489,GREEN,34,Chennai
CLM0000088,CHE_02881,Adyar,2024-05-20,21,0,0,0,0,0,0,0,0,0,1.0,0.004975,0,0.0,0,419,0,0,0.5979,0.0615,GREEN,59,Chennai
CLM0000089,CHE_07180,Chromepet,2025-04-17,14,0,0,0,1,1,1,1,0,1,1.0,1.0,0,1.0,0,5,1,18,0.05,0.0958,GREEN,49,Chennai
CLM0000090,CHE_04994,Porur,2022-05-21,10,0,0,0,0,0,1,0,0,0,0.0,0.215628,0,0.0,0,84,4,2,0.4959,0.0822,GREEN,33,Chennai
CLM0000091,CHE_09535,Adyar,2021-02-27,18,0,0,0,1,1,0,1,1,0,1.0,0.589016,0,1.0,1,9,4,15,0.9083,0.0079,GREEN,46,Chennai
CLM0000092,CHE_07360,Adyar,2022-03-25,8,0,0,0,0,0,0,0,0,0,0.0,0.282803,0,0.0,0,390,0,0,0.228,0.0,GREEN,48,Chennai
CLM0000093,CHE_01772,Guindy,2023-11-04,7,0,0,0,0,0,0,0,1,0,0.0,0.118196,0,0.0,0,420,0,1,0.7343,0.0488,GREEN,33,Chennai
CLM0000094,CHE_01987,Tambaram,2024-09-07,11,0,0,0,0,0,0,0,0,0,0.0,0.337259,0,0.0,0,280,4,0,0.9197,0.0505,GREEN,41,Chennai
CLM0000095,CHE_05091,Tambaram,2024-01-05,12,0,0,0,0,0,0,1,0,0,0.0,0.408142,0,0.0,0,119,3,0,0.4157,0.0475,GREEN,36,Chennai
CLM0000096,CHE_01926,Anna Nagar,2024-05-05,9,0,0,0,0,0,0,0,0,0,0.0,0.12222,0,0.0,0,253,1,0,0.1148,0.1486,GREEN,40,Chennai
CLM0000097,CHE_03762,Porur,2025-01-23,15,0,0,0,0,0,0,0,0,0,0.0,0.26141,0,0.0,0,180,4,3,0.4747,0.0,GREEN,22,Chennai
CLM0000098,CHE_05186,Sholinganallur,2022-05-27,16,0,0,0,0,0,0,0,0,0,0.0,0.084524,0,0.0,0,190,0,0,0.459,0.0387,GREEN,48,Chennai
CLM0000099,CHE_01364,Chromepet,2023-06-20,18,0,0,0,1,0,1,0,1,1,0.0,1.0,0,1.0,0,5,1,18,0.3548,0.1732,GREEN,53,Chennai
CLM0000100,CHE_02427,Anna Nagar,2023-07-25,19,0,0,0,0,0,0,0,0,0,0.0,0.245141,0,0.0,0,295,0,3,0.1054,0.1081,GREEN,33,Chennai
CLM0000101,CHE_01730,Anna Nagar,2025-02-06,7,0,1,1,0,0,0,0,1,0,0.0,0.0,0,0.0,0,420,0,0,0.7199,0.0561,GREEN,41,Chennai
CLM0000102,CHE_08639,T Nagar,2018-12-27,8,0,0,0,0,0,0,0,0,0,0.0,0.155793,0,0.0,0,264,0,6,0.8431,0.0,GREEN,36,Chennai
CLM0000103,CHE_07711,Chromepet,2024-09-27,8,0,0,0,0,0,0,0,0,0,1.0,0.375838,0,0.0,0,420,2,6,0.7305,0.1048,GREEN,59,Chennai
CLM0000104,CHE_03472,T Nagar,2025-01-04,8,0,0,0,0,0,0,0,0,0,0.0,0.067886,0,0.0,0,350,1,3,0.4857,0.0132,GREEN,40,Chennai
CLM0000105,CHE_07966,Porur,2022-11-27,21,0,0,0,0,0,0,0,0,0,0.0,0.24884,0,0.0,0,305,0,3,0.4773,0.017,GREEN,34,Chennai
CLM0000106,CHE_06011,Guindy,2021-04-18,8,0,0,0,0,0,0,0,0,0,1.0,0.230475,0,0.0,0,16,0,5,0.8182,0.11,GREEN,44,Chennai
CLM0000107,CHE_01756,Guindy,2019-09-15,18,0,0,0,0,0,0,0,0,0,0.0,0.057848,0,0.0,0,351,0,0,0.4473,0.0,GREEN,57,Chennai
CLM0000108,CHE_06015,Porur,2022-10-14,8,0,0,0,0,0,0,0,0,0,0.0,0.357656,0,0.0,0,113,3,1,0.7846,0.0813,GREEN,39,Chennai
CLM0000109,CHE_04017,Chromepet,2023-02-26,12,0,0,0,0,0,0,0,0,0,1.0,0.321304,0,0.0,0,213,3,1,0.8311,0.0292,GREEN,35,Chennai
CLM0000110,CHE_06474,Velachery,2020-05-15,17,0,0,0,0,1,0,0,0,0,0.0,0.042743,0,0.0,0,291,2,3,0.5388,0.1592,GREEN,37,Chennai
CLM0000111,CHE_06850,Anna Nagar,2024-01-08,9,0,0,0,0,0,0,0,0,0,0.0,0.388017,0,0.0,0,369,3,3,0.7838,0.1258,GREEN,46,Chennai
CLM0000112,CHE_01291,Chromepet,2025-11-28,18,0,0,0,0,0,0,0,0,0,0.0,0.089843,0,0.0,0,279,2,1,0.7932,0.0,GREEN,36,Chennai
CLM0000113,CHE_03286,Perambur,2023-09-15,20,0,0,0,0,0,0,0,0,0,0.0,0.450646,1,1.0,0,73,2,3,0.1779,0.1232,GREEN,47,Chennai
CLM0000114,CHE_01060,Guindy,2022-03-11,12,0,0,0,0,0,0,0,0,0,0.0,0.038068,0,0.0,0,420,0,2,0.9062,0.0371,GREEN,40,Chennai
CLM0000115,CHE_08602,Perambur,2024-03-08,20,0,0,0,0,0,1,0,0,0,0.0,0.018304,0,0.0,0,58,2,1,0.6433,0.1775,GREEN,40,Chennai
CLM0000116,CHE_09243,Sholinganallur,2022-07-11,13,0,0,0,0,0,0,0,0,0,0.0,0.273604,0,0.0,0,420,0,1,0.8557,0.0128,GREEN,38,Chennai
CLM0000117,CHE_07852,Porur,2024-04-28,10,0,1,1,0,0,1,0,0,0,0.0,1.0,0,0.0,0,144,1,0,0.7359,0.0593,GREEN,45,Chennai
CLM0000118,CHE_05841,T Nagar,2025-12-17,11,0,0,0,0,0,0,0,0,0,0.0,0.047472,0,0.0,0,209,3,0,0.9507,0.0,GREEN,28,Chennai
CLM0000119,CHE_09888,Velachery,2024-05-22,18,0,0,0,0,0,0,0,0,0,0.0,0.174752,0,0.0,0,287,2,1,0.8222,0.019,GREEN,34,Chennai
CLM0000120,CHE_05337,T Nagar,2025-06-25,19,0,0,0,0,0,0,0,1,0,0.0,0.201467,0,0.0,0,97,2,0,0.7971,0.0893,GREEN,22,Chennai
CLM0000121,CHE_09448,Sholinganallur,2022-12-20,15,0,0,0,1,0,0,0,0,0,0.0,0.08703,0,0.0,0,420,0,1,0.7518,0.2264,GREEN,26,Chennai
CLM0000122,CHE_07857,Adyar,2024-08-22,19,0,0,0,0,0,0,0,0,0,0.0,0.354818,0,0.0,0,249,2,0,0.0994,0.0067,GREEN,38,Chennai
CLM0000123,CHE_03680,T Nagar,2025-01-30,18,0,0,0,0,0,1,0,0,0,0.0,0.304632,0,0.0,0,413,1,1,0.7842,0.1463,GREEN,18,Chennai
CLM0000124,CHE_06004,Porur,2024-10-11,13,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1.0,0,420,0,2,0.8,0.0,GREEN,55,Chennai
CLM0000125,CHE_07570,Porur,2023-07-30,8,0,0,0,0,0,0,0,0,1,0.0,0.414709,0,0.0,0,292,3,2,0.705,0.1328,GREEN,36,Chennai
CLM0000126,CHE_04239,T Nagar,2017-12-20,9,0,0,0,0,0,0,0,1,0,0.0,0.291733,0,0.0,0,284,0,0,0.98,0.1395,GREEN,35,Chennai
CLM0000127,CHE_08615,Anna Nagar,2023-03-20,20,0,0,0,0,0,0,0,0,0,0.0,0.44862,0,0.0,0,14,4,0,0.7273,0.0,GREEN,60,Chennai
CLM0000128,CHE_01013,Chromepet,2015-09-03,20,0,0,0,0,0,0,0,1,0,0.0,0.313485,0,0.0,0,194,4,4,0.6006,0.0468,GREEN,41,Chennai
CLM0000129,CHE_05082,Porur,2018-12-22,12,0,0,0,0,1,0,0,0,0,0.0,0.964971,0,0.0,0,267,0,3,0.5565,0.0495,GREEN,25,Chennai
CLM0000130,CHE_06072,T Nagar,2023-06-16,15,0,0,0,0,0,0,1,0,0,0.0,0.172801,0,0.0,0,170,4,4,0.4473,0.1439,GREEN,44,Chennai
CLM0000131,CHE_08724,Porur,2025-07-21,15,0,0,0,1,0,0,0,0,0,0.0,0.336279,0,0.0,0,15,4,2,0.98,0.2427,GREEN,32,Chennai
CLM0000132,CHE_00347,Velachery,2021-04-25,18,0,0,0,0,0,0,0,0,0,0.0,0.429272,0,0.0,0,420,1,5,0.6298,0.039,GREEN,51,Chennai
CLM0000133,CHE_04297,Perambur,2021-11-27,19,0,0,0,0,0,0,0,0,0,0.0,0.086012,0,0.0,0,36,4,1,0.1633,0.0619,GREEN,31,Chennai
CLM0000134,CHE_02054,Velachery,2023-05-28,10,0,0,0,0,0,0,1,0,0,0.0,1.0,0,0.0,0,101,1,3,0.6595,0.0351,GREEN,32,Chennai
CLM0000135,CHE_06518,Porur,2022-04-01,14,0,0,0,0,1,0,0,0,0,0.0,0.965836,0,0.0,0,113,4,5,0.98,0.1005,GREEN,35,Chennai
CLM0000136,CHE_08893,Sholinganallur,2018-10-06,14,0,0,0,0,0,0,0,0,0,0.0,0.4565,0,0.0,0,46,2,1,0.7067,0.0,GREEN,45,Chennai
CLM0000137,CHE_05724,Porur,2024-07-31,8,0,0,0,0,0,0,1,0,1,0.0,0.265683,0,0.0,0,420,4,2,0.9656,0.0815,GREEN,25,Chennai
CLM0000138,CHE_05778,Anna Nagar,2018-10-26,11,0,0,0,0,0,0,0,0,0,0.0,1.0,0,0.0,0,148,0,3,0.8573,0.0238,GREEN,47,Chennai
CLM0000139,CHE_04788,Adyar,2022-01-06,10,0,0,0,0,0,0,0,0,0,0.0,0.021094,0,0.0,0,166,1,3,0.661,0.0,GREEN,45,Chennai
CLM0000140,CHE_03373,Guindy,2020-09-16,19,0,0,0,1,0,1,0,0,0,0.0,1.0,0,0.0,0,6,4,18,0.1471,0.1522,GREEN,21,Chennai
CLM0000141,CHE_02103,Anna Nagar,2023-05-14,9,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0.0,0,44,1,3,0.7118,0.0175,GREEN,44,Chennai
